ID,Phase,Title,Description,Target_Citations,Visualization,Acceptance,Status,Verified_Citations,Notes
R1,Research,Source blueprint and repo receipts,Fetch live GitHub Pages HTML; compare with local gh-pages; inspect repo receipts and implementation files,0,N/A,Live HTML byte-matches local source; key repo receipts checked,DONE,0,Live page hash matched local gdn-tree-scan.html
R2,Research,Citation discovery and BibTeX,Verify core prior work and source links; initialize arXiv registry; export BibTeX,12,N/A,Core external and repo citations available in ref.bib,DONE,12,arXiv registry used for arXiv entries; web docs checked for SGLang and Qwen context
W1,Writing,Abstract and introduction,Write MLSys-style problem framing and scoped contribution,6,N/A,Abstract and intro preserve the lossless-within-floor and B=1 decode-only scope,DONE,11,MLSys framing and scoped contribution written in main.tex
W2,Writing,Related work,Write tree speculation and hybrid serving comparison with precise SGLang positioning,10,Prior-work table,SGLang framed as adjacent production comparison; no direct baseline overclaim,DONE,16,Prior-work table and narrative separate adjacent SGLang serving from fused verifier contribution
W3,Writing,Verifier contract and design,Write accepted-state theorem and system design,8,Contract table; pipeline diagram,Attention ancestry plus path-local GDN state plus accepted-chain publication are explicit,DONE,11,Contract table and pipeline figure included
W4,Writing,Kernel realization,Write GDN recurrence and tree-scan/replay kernel section,6,GDN dataflow diagram,Kernel invariant and BV/h_cache constraints cited to code receipts,DONE,8,GDN recurrence and scan/replay diagram included
W5,Writing,Evaluation and lossless evidence,Write setup/results/lossless sections and measurement discipline,8,Results table; lossless gate table,cat6root +27% token-weighted decode TPS and caveats are preserved,DONE,13,Results table preserves +27.0 token-weighted decode TPS and caveats
W6,Writing,Failure modes and limitations,Condense failure library into MLSys paper limits and open gates,4,N/A,B=4 and Stage D remain open; contaminated readings not promoted,DONE,12,Failure modes and open gates section written without promoting contaminated measurements
W7,Writing,Restore HTML load-bearing content,Add academic claim/evidence map; surface-alignment table; negative-results table; explicit threats-to-validity section,0,Claim map; surface table; negative-results table,HTML content that materially supports the argument is present without copying blog-only navigation or receipt sprawl,DONE,0,Added missing evidence maps and design-history material from the live HTML blueprint
RF1,Refinement,Rhythm refinement,Refine prose for varied paragraph rhythm while preserving citations and claims,0,N/A,No filler; no uncited three-sentence claim runs,DONE,0,Prose tightened while preserving citations and scoped claims
Q1,QA,Compile and citation QA,Compile with BibTeX; fix undefined references/citations and layout warnings where feasible,0,N/A,main.pdf builds; no undefined citations,DONE,0,Build log has no undefined citations or references and no overfull boxes
Q2,QA,Source integrity check,Check final source links and git diff for only intended files,0,N/A,Generated artifact is scoped to papers/gdn-tree-scan-mlsys plus copied IEEEtran,DONE,0,
Q3,QA,ArXiv preprint review edits,Address abstract ordering; model availability; accept-gain mechanism; standalone evidence; consolidated repo citations,0,N/A,Core arXiv review comments are reflected in main.tex/ref.bib and paper rebuilds,DONE,0,Public HF model citation added; repo receipts consolidated into source trail
Q4,QA,Table readability pass,Add human-eye-friendly row separators to dense tables without using spreadsheet-style vertical rules,0,All paper tables,Tables remain academic/booktabs style and PDF rebuilds cleanly,DONE,0,Added reusable row separator macro and applied it across dense tabular blocks
Q5,QA,Algorithm depth pass,Deepen FA2 tree-fork and GDN tree-scan/replay explanation from repo implementation receipts,0,FA2 equation; GDN pseudocode,Systems reader can reconstruct attention-bias insertion branch-local scan and replay/publication contract without opening repo receipts,DONE,0,Added FA2 tree-bias subsection and branch-local GDN scan/publication algorithm
Q6,QA,Drafter committer and measurement depth,Add MTP draft-head packing device multidraft committer and lossless/speed infrastructure details,0,MTP/committer text; infrastructure text,Paper explains shipped temp-0.6 committer MTP runner-up reads tree sample row and ON/OFF measurement gates,DONE,0,Added shipped drafter/committer section and deployment-regime measurement infrastructure section
Q7,QA,BV N_PAD and spill deep dive,Add implementation-level discussion of value-tile width padded-node span h_cache footprint and the pad16 spill boundary,0,BV/N_PAD resource table,Systems reader can tell why BV16/w8 pad16 is shipped why BV4 is not a lossless dial and why recompute/replay is the route past pad16,DONE,0,Added BV/N_PAD/spill subsection and canonical config geometry row
Q8,QA,External review packaging pass,Address pasted arXiv review comments on terminology metric reconciliation bibliography hygiene and arXiv build packaging,0,Metric bridge; bibliography cleanup,Paper avoids TODO-style packaging prose defines accept/event versus committed/event scopes empirical equivalence and keeps only consolidated internal provenance citations,DONE,0,Added metric bridge rounded tables equivalence wording model snapshot limitation and pruned unused internal BibTeX receipts
